0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:29:06 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 200 7126
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:32:33 +0900] "GET /fin/board HTTP/1.1" 200 17090
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:32:33 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 200 7220
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:35:55 +0900] "GET /fin/board HTTP/1.1" 200 17207
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:35:55 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:37:08 +0900] "GET /fin/board HTTP/1.1" 200 17207
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:37:08 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 200 7286
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:37:32 +0900] "GET /fin/board HTTP/1.1" 200 17207
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:37:32 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 200 7312
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:39:12 +0900] "GET /fin/board HTTP/1.1" 200 17207
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:39:12 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 200 10507
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:43:05 +0900] "GET /fin/board HTTP/1.1" 200 17207
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:43:05 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 200 10660
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:44:03 +0900] "GET /fin/board HTTP/1.1" 200 17207
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:44:03 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:46:40 +0900] "GET /fin/board HTTP/1.1" 200 17207
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:46:40 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 200 10839
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:47:04 +0900] "GET /fin/board HTTP/1.1" 200 17207
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:47:04 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:49:07 +0900] "GET /fin/resources/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:49:07 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:49:07 +0900] "GET /fin/resources/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:53:02 +0900] "GET /fin/board HTTP/1.1" 200 17207
0:0:0:0:0:0:0:1 - - [14/Jun/2023:12:53:03 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 200 10743
